airline,airport1,airport2,cnt
AA,DFW,SJU,120
AA,MSP,DFW,326
AA,LGA,ORD,860
AA,TPA,JFK,56
AA,STT,BOS,44
AA,PHX,DFW,550
AA,ORD,LAX,496
AA,DCA,STL,200
AA,ORD,SEA,214
AA,XNA,DFW,50
AA,ORD,DFW,825
AA,ORD,LAS,280
AA,DEN,DFW,558
AA,HDN,ORD,48
AA,LAX,DFW,914
AA,BNA,LGA,102
AA,FAT,DFW,112
AA,AUS,JFK,56
AA,PHL,MIA,168
AA,SJU,PHL,56
AA,SFO,MIA,168
AA,DFW,LAS,569
AA,RNO,DFW,150
AA,DFW,ELP,434
AA,LAX,SFO,336
AA,ORD,SFO,326
AA,MCO,DFW,500
AA,ORD,EGE,64
AA,MCO,ORD,224
AA,IAH,DFW,324
AA,DFW,BOS,422
AA,MTJ,DFW,16
AA,ORD,SNA,152
AA,OKC,DFW,390
AA,HSV,DFW,158
AA,DFW,RDU,278
AA,DFW,BHM,168
AA,PHX,MIA,56
AA,ORD,MSY,149
AA,DFW,PDX,224
AA,ORD,MSP,160
AA,FLL,ORD,168
AA,DFW,IAD,308
AA,CMH,DFW,104
AA,OGG,LAX,112
AA,MCI,DFW,436
AA,DFW,SNA,578
AA,AUS,LAX,162
AA,MCI,ORD,214
AA,SJU,BWI,56
AA,OGG,DFW,56
AA,DFW,LGA,776
AA,MIA,DFW,560
AA,LGA,MIA,615
AA,TUL,MIA,4
AA,MIA,JFK,392
AA,ORD,BOS,430
AA,EGE,LAX,56
AA,EGE,JFK,56
AA,BDL,MIA,112
AA,SLC,DFW,280
AA,JFK,SAN,56
AA,JAC,ORD,56
AA,DFW,ONT,222
AA,ATL,MIA,224
AA,MIA,DTW,112
AA,DFW,PIT,170
AA,DFW,TPA,392
AA,SAT,DFW,826
AA,EWR,DFW,310
AA,SJU,BOS,56
AA,DFW,COS,278
AA,STL,DFW,486
AA,EWR,ORD,168
AA,EGE,MIA,48
AA,MIA,DEN,112
AA,DCA,ORD,324
AA,DFW,HDN,64
AA,DFW,IND,278
AA,SAN,ORD,224
AA,SJU,TPA,56
AA,DFW,JAX,216
AA,SAN,DFW,500
AA,LAX,LAS,222
AA,STL,ORD,483
AA,DTW,DFW,260
AA,AUS,DFW,820
AA,MIA,TPA,298
AA,FLL,DFW,336
AA,LAX,LIH,56
AA,DFW,ICT,214
AA,LAS,MIA,168
AA,SAT,ORD,112
AA,SFO,DFW,526
AA,DFW,CLT,360
AA,MIA,BOS,392
AA,SJU,BDL,56
AA,ORD,PSP,64
AA,ORD,RSW,168
AA,BNA,LAX,56
AA,JFK,ORD,56
AA,HNL,SFO,56
AA,MIA,EWR,168
AA,EGE,DFW,136
AA,KOA,LAX,56
AA,LAX,MCO,56
AA,ORD,PBI,150
AA,DFW,SEA,392
AA,SJU,ORD,112
AA,MIA,IAD,112
AA,SJC,DFW,318
AA,LAX,EWR,54
AA,RNO,ORD,56
AA,DFW,SMF,224
AA,ORD,DEN,112
AA,MIA,IAH,168
AA,RIC,DFW,166
AA,MIA,BWI,112
AA,SJC,ORD,112
AA,SDF,DFW,164
AA,DFW,BDL,162
AA,BNA,DFW,436
AA,IAD,SJU,56
AA,DFW,JAC,24
AA,MIA,BNA,56
AA,BWI,DFW,326
AA,MFE,DFW,214
AA,STL,LGA,206
AA,PHL,DFW,322
AA,MIA,STT,112
AA,BUR,DFW,208
AA,TUS,ORD,112
AA,DCA,MIA,504
AA,HNL,ORD,46
AA,MIA,STX,62
AA,ORD,AUS,166
AA,DFW,PSP,168
AA,LAX,IAD,166
AA,DFW,ABQ,444
AA,MIA,STL,168
AA,DFW,RSW,168
AA,DFW,HNL,112
AA,JFK,FLL,112
AA,MIA,MCO,448
AA,LAX,MIA,392
AA,LAX,HNL,216
AA,RDU,ORD,156
AA,DFW,TUL,390
AA,MCO,JFK,224
AA,DFW,TUS,419
AA,OMA,DFW,272
AA,DFW,JFK,56
AA,JFK,LAS,112
AA,LGA,EGE,8
AA,JFK,LAX,548
AA,ORD,TPA,150
AA,STT,JFK,56
AA,MEM,DFW,214
AA,DFW,MSY,336
AA,TUL,ORD,56
AA,DFW,DAY,104
AA,JFK,SJU,168
AA,ATL,DFW,580
AA,LAX,SJU,16
AA,SEA,JFK,56
AA,MIA,RDU,168
AA,ORD,PHL,110
AA,MIA,MSY,168
AA,SJU,MIA,448
AA,SFO,JFK,278
AA,MSP,MIA,56
AA,DFW,PBI,112
AA,STL,LAX,166
AA,ORD,PHX,280
AA,BOS,LAX,168
AA,ORD,MIA,505
AA,DFW,ORF,112
AA,DFW,DCA,588
OO,ORD,MKE,416
OO,MRY,DEN,56
OO,AUS,ORD,40
OO,LAX,ABQ,139
OO,ASE,SFO,102
OO,MKE,STL,160
OO,BOI,LAX,90
OO,LAX,JAC,56
OO,CAK,ORD,4
OO,SAT,LAX,145
OO,IDA,DEN,156
OO,SFO,BUR,280
OO,MEM,MKE,60
OO,CLE,ORD,29
OO,DEN,MSY,24
OO,DEN,BHM,56
OO,SLC,DEN,656
OO,BHM,ORD,32
OO,ACV,SFO,340
OO,GCC,RKS,56
OO,MKE,DSM,104
OO,DEN,FAR,70
OO,STL,MEM,54
OO,DEN,PHX,36
OO,SEA,SFO,26
OO,SFO,GEG,112
OO,MSP,CID,61
OO,DFW,IAD,16
OO,ORD,STL,46
OO,DFW,IAH,102
OO,BFL,SFO,168
OO,BOI,ORD,57
OO,BZN,ORD,83
OO,SLC,SAT,152
OO,SLC,BZN,220
OO,ICT,MEM,50
OO,IAH,PIT,57
OO,GTF,SLC,152
OO,SLC,TWF,225
OO,AVL,ORD,112
OO,ATL,IAD,3
OO,ATL,IAH,100
OO,IAH,IAD,84
OO,DEN,GJT,285
OO,DEN,EUG,96
OO,FAT,DEN,152
OO,SBP,SFO,274
OO,ORD,SAT,6
OO,BIS,CLE,1
OO,FAR,ORD,54
OO,MSP,LEX,32
OO,SFO,MMH,56
OO,DEN,MSP,20
OO,ASE,LAX,164
OO,ASE,ORD,236
OO,STL,SLC,1
OO,ORF,IAD,30
OO,SLC,MSY,56
OO,MTJ,ORD,64
OO,LIT,DEN,53
OO,DEN,MEM,9
